key,rgb_path,depth_path,paired,rgb_shape,depth_shape,rgb_mtime,depth_mtime,mtime_delta_sec,note
0006,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0006.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0006.png,1,720x1280x3,720x1280,2026-04-15T18:54:12,2026-04-15T18:54:12,0.000,
0007,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0007.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0007.png,1,720x1280x3,720x1280,2026-04-15T18:54:12,2026-04-15T18:54:12,0.000,
0008,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0008.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0008.png,1,720x1280x3,720x1280,2026-04-15T18:54:12,2026-04-15T18:54:12,0.000,
0009,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0009.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0009.png,1,720x1280x3,720x1280,2026-04-15T18:54:12,2026-04-15T18:54:12,0.000,
0010,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0010.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0010.png,1,720x1280x3,720x1280,2026-04-15T18:54:14,2026-04-15T18:54:14,0.000,
0011,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0011.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0011.png,1,720x1280x3,720x1280,2026-04-15T18:54:14,2026-04-15T18:54:14,0.000,
0012,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0012.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0012.png,1,720x1280x3,720x1280,2026-04-15T18:54:14,2026-04-15T18:54:14,0.000,
0013,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0013.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0013.png,1,720x1280x3,720x1280,2026-04-15T18:54:20,2026-04-15T18:54:20,0.000,
0014,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0014.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0014.png,1,720x1280x3,720x1280,2026-04-15T18:54:20,2026-04-15T18:54:20,0.000,
0015,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0015.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0015.png,1,720x1280x3,720x1280,2026-04-15T18:54:22,2026-04-15T18:54:22,0.000,
0016,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0016.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0016.png,1,720x1280x3,720x1280,2026-04-15T18:54:22,2026-04-15T18:54:22,0.000,
0017,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0017.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0017.png,1,720x1280x3,720x1280,2026-04-15T18:54:22,2026-04-15T18:54:22,0.000,
0018,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0018.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0018.png,1,720x1280x3,720x1280,2026-04-15T18:54:22,2026-04-15T18:54:22,0.000,
0019,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0019.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0019.png,1,720x1280x3,720x1280,2026-04-15T18:54:36,2026-04-15T18:54:36,0.000,
0020,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0020.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0020.png,1,720x1280x3,720x1280,2026-04-15T18:54:36,2026-04-15T18:54:36,0.000,
0021,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0021.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0021.png,1,720x1280x3,720x1280,2026-04-15T18:54:56,2026-04-15T18:54:56,0.000,
0022,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0022.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0022.png,1,720x1280x3,720x1280,2026-04-15T18:54:56,2026-04-15T18:54:56,0.000,
0023,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0023.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0023.png,1,720x1280x3,720x1280,2026-04-15T18:55:10,2026-04-15T18:55:10,0.000,
0024,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0024.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0024.png,1,720x1280x3,720x1280,2026-04-15T18:55:10,2026-04-15T18:55:10,0.000,
0025,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0025.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0025.png,1,720x1280x3,720x1280,2026-04-15T18:55:10,2026-04-15T18:55:10,0.000,
0026,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0026.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0026.png,1,720x1280x3,720x1280,2026-04-15T18:55:24,2026-04-15T18:55:24,0.000,
0027,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0027.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0027.png,1,720x1280x3,720x1280,2026-04-15T18:55:54,2026-04-15T18:55:54,0.000,
0028,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0028.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0028.png,1,720x1280x3,720x1280,2026-04-15T18:55:54,2026-04-15T18:55:54,0.000,
0029,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0029.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0029.png,1,720x1280x3,720x1280,2026-04-15T18:55:54,2026-04-15T18:55:54,0.000,
0030,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0030.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0030.png,1,720x1280x3,720x1280,2026-04-15T18:56:16,2026-04-15T18:56:16,0.000,
0031,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0031.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0031.png,1,720x1280x3,720x1280,2026-04-15T18:56:18,2026-04-15T18:56:18,0.000,
0032,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0032.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0032.png,1,720x1280x3,720x1280,2026-04-15T18:56:28,2026-04-15T18:56:28,0.000,
